ticker,earnings_date,fiscal_quarter,fiscal_quarter_end
AAPL,2015-10-28,2012Q3,2012-09-29
AAPL,2016-10-26,2013Q3,2013-09-28
AAPL,2017-11-03,2014Q3,2014-09-27
AAPL,2018-11-05,2015Q3,2015-09-26
AAPL,2019-10-31,2016Q3,2016-09-24
AAPL,2019-10-31,2017Q4,2017-12-30
AAPL,2019-10-31,2018Q1,2018-03-31
AAPL,2019-10-31,2018Q2,2018-06-30
AAPL,2020-10-30,2017Q3,2017-09-30
AAPL,2020-10-30,2018Q4,2018-12-29
AAPL,2020-10-30,2019Q1,2019-03-30
AAPL,2020-10-30,2019Q2,2019-06-29
AAPL,2021-04-29,2019Q4,2019-12-28
AAPL,2021-07-28,2020Q1,2020-03-28
AAPL,2021-07-28,2020Q2,2020-06-27
AAPL,2021-10-29,2018Q3,2018-09-29
AAPL,2022-04-29,2020Q4,2020-12-26
AAPL,2022-07-29,2021Q1,2021-03-27
AAPL,2022-07-29,2021Q2,2021-06-26
AAPL,2022-10-28,2019Q3,2019-09-28
AAPL,2023-05-05,2021Q4,2021-12-25
AAPL,2023-08-04,2022Q1,2022-03-26
AAPL,2023-08-04,2022Q2,2022-06-25
AAPL,2023-11-03,2020Q3,2020-09-26
AMT,2014-02-26,2010Q4,2010-12-31
AMT,2015-02-24,2011Q4,2011-12-31
AMT,2016-02-26,2012Q4,2012-12-31
AMT,2017-02-27,2013Q4,2013-12-31
AMT,2018-02-28,2014Q4,2014-12-31
AMT,2019-02-27,2015Q4,2015-12-31
AMT,2020-02-25,2016Q4,2016-12-31
AMT,2020-02-25,2018Q1,2018-03-31
AMT,2020-02-25,2018Q2,2018-06-30
AMT,2020-02-25,2018Q3,2018-09-30
AMT,2020-07-30,2019Q1,2019-03-31
AMT,2020-10-29,2019Q2,2019-06-30
AMT,2020-10-29,2019Q3,2019-09-30
AMT,2021-02-25,2017Q4,2017-12-31
AMT,2022-02-25,2018Q4,2018-12-31
AMT,2022-07-28,2021Q1,2021-03-31
AMT,2022-10-27,2021Q2,2021-06-30
AMT,2022-10-27,2021Q3,2021-09-30
AMT,2023-02-23,2019Q4,2019-12-31
AMT,2023-07-27,2022Q1,2022-03-31
AMT,2023-10-26,2022Q2,2022-06-30
AMT,2023-10-26,2022Q3,2022-09-30
AMZN,2014-01-31,2010Q4,2010-12-31
AMZN,2015-01-30,2011Q4,2011-12-31
AMZN,2015-04-24,2013Q1,2013-03-31
AMZN,2015-07-24,2013Q2,2013-06-30
AMZN,2015-10-23,2013Q3,2013-09-30
AMZN,2016-01-29,2012Q4,2012-12-31
AMZN,2016-04-29,2014Q1,2014-03-31
AMZN,2016-07-29,2014Q2,2014-06-30
AMZN,2016-10-28,2014Q3,2014-09-30
AMZN,2017-02-10,2013Q4,2013-12-31
AMZN,2017-04-28,2015Q1,2015-03-31
AMZN,2017-07-28,2015Q2,2015-06-30
AMZN,2017-10-27,2015Q3,2015-09-30
AMZN,2018-02-02,2014Q4,2014-12-31
AMZN,2018-04-27,2016Q1,2016-03-31
AMZN,2018-07-27,2016Q2,2016-06-30
AMZN,2018-10-26,2016Q3,2016-09-30
AMZN,2019-02-01,2015Q4,2015-12-31
AMZN,2019-04-26,2017Q1,2017-03-31
AMZN,2019-10-25,2017Q3,2017-09-30
AMZN,2020-01-31,2016Q4,2016-12-31
AMZN,2020-07-31,2018Q1,2018-03-31
AMZN,2020-07-31,2018Q2,2018-06-30
AMZN,2020-10-30,2018Q3,2018-09-30
AMZN,2021-02-03,2017Q4,2017-12-31
AMZN,2021-04-30,2019Q1,2019-03-31
AMZN,2021-07-30,2019Q2,2019-06-30
AMZN,2021-10-29,2019Q3,2019-09-30
AMZN,2022-02-04,2018Q4,2018-12-31
AMZN,2022-04-29,2020Q1,2020-03-31
AMZN,2022-07-29,2020Q2,2020-06-30
AMZN,2022-10-28,2020Q3,2020-09-30
AMZN,2023-02-03,2019Q4,2019-12-31
AMZN,2023-04-28,2021Q1,2021-03-31
AMZN,2023-08-04,2021Q2,2021-06-30
AMZN,2023-10-27,2021Q3,2021-09-30
APD,2014-11-24,2011Q3,2011-09-30
APD,2014-11-24,2012Q4,2012-12-31
APD,2014-11-24,2013Q1,2013-03-31
APD,2014-11-24,2013Q2,2013-06-30
APD,2015-11-24,2012Q3,2012-09-30
APD,2015-11-24,2013Q4,2013-12-31
APD,2015-11-24,2014Q1,2014-03-31
APD,2015-11-24,2014Q2,2014-06-30
APD,2017-06-05,2013Q3,2013-09-30
APD,2017-06-05,2014Q4,2014-12-31
APD,2017-06-05,2015Q1,2015-03-31
APD,2017-06-05,2015Q2,2015-06-30
APD,2017-11-16,2014Q3,2014-09-30
APD,2017-11-16,2015Q4,2015-12-31
APD,2017-11-16,2016Q1,2016-03-31
APD,2017-11-16,2016Q2,2016-06-30
APD,2018-11-20,2015Q3,2015-09-30
APD,2018-11-20,2016Q4,2016-12-31
APD,2018-11-20,2017Q1,2017-03-31
APD,2018-11-20,2017Q2,2017-06-30
APD,2019-11-26,2016Q3,2016-09-30
APD,2019-11-26,2017Q4,2017-12-31
APD,2019-11-26,2018Q1,2018-03-31
APD,2019-11-26,2018Q2,2018-06-30
APD,2020-11-19,2017Q3,2017-09-30
APD,2020-11-19,2018Q4,2018-10-01
APD,2020-11-19,2019Q1,2019-03-31
APD,2020-11-19,2019Q2,2019-06-30
APD,2021-05-10,2019Q4,2019-12-31
APD,2021-08-09,2020Q1,2020-03-31
APD,2021-08-09,2020Q2,2020-06-30
APD,2021-11-18,2018Q3,2018-09-30
APD,2022-05-05,2020Q4,2020-12-31
APD,2022-08-04,2021Q1,2021-03-31
APD,2022-08-04,2021Q2,2021-06-30
APD,2022-11-22,2019Q3,2019-09-30
APD,2023-05-09,2021Q4,2021-12-31
APD,2023-08-03,2022Q1,2022-03-31
APD,2023-08-03,2022Q2,2022-06-30
APD,2023-11-16,2020Q3,2020-09-30
BAC,2019-10-28,2018Q3,2018-09-30
BAC,2020-07-31,2019Q1,2019-03-31
BAC,2020-10-30,2019Q2,2019-06-30
BAC,2020-10-30,2019Q3,2019-09-30
BAC,2021-02-24,2017Q4,2017-12-31
BAC,2021-07-30,2020Q1,2020-03-31
BAC,2021-10-29,2020Q2,2020-06-30
BAC,2021-10-29,2020Q3,2020-09-30
BAC,2022-02-22,2018Q4,2018-12-31
BAC,2022-07-29,2021Q1,2021-03-31
BAC,2022-10-28,2021Q2,2021-06-30
BAC,2022-10-28,2021Q3,2021-09-30
BAC,2023-02-22,2019Q4,2019-12-31
BAC,2023-07-31,2022Q1,2022-03-31
BAC,2023-10-31,2022Q2,2022-06-30
BAC,2023-10-31,2022Q3,2022-09-30
CVX,2014-02-21,2010Q4,2010-12-31
CVX,2014-05-02,2013Q1,2013-03-31
CVX,2014-08-06,2013Q2,2013-06-30
