report_date,ticker,fiscal_quarter,fiscal_quarter_end,roe,gross_margin,fcf_yield,debt_to_assets,pe,pb,ev_ebitda,earnings_yield
2015-02-04,AAPL,2014Q4,2014-12-31,0.4469,0.4353,0.0418,0.2952,20.57,12.54,16.72,0.0486
2015-02-04,AMT,2014Q4,2014-12-31,0.1689,0.6619,0.0356,0.7633,53.07,11.6,23.21,0.0188
2015-02-04,AMZN,2014Q4,2014-12-31,0.1078,0.4344,0.0162,0.6145,60.74,10.24,25.59,0.0165
2015-02-04,APD,2014Q4,2014-12-31,0.1911,0.3285,0.045,0.4003,19.09,3.93,14.74,0.0524
2015-02-04,BAC,2014Q4,2014-12-31,0.0933,0.511,0.0278,0.8777,13.88,1.25,13.54,0.072
2015-02-04,CAT,2014Q4,2014-12-31,0.3065,0.3159,0.0476,0.6927,16.94,6.31,11.57,0.059
2015-02-04,CVX,2014Q4,2014-12-31,0.1037,0.3645,0.0382,0.4139,14.44,1.61,11.83,0.0693
2015-02-04,DUK,2014Q4,2014-12-31,0.0637,0.257,0.0192,0.7033,22.55,1.55,12.62,0.0443
2015-02-04,ECL,2014Q4,2014-12-31,0.1557,0.3715,0.0491,0.5073,20.97,7.29,18.73,0.0477
2015-02-04,GOOGL,2014Q4,2014-12-31,0.2084,0.53,0.0464,0.0517,19.72,4.84,15.48,0.0507
2015-02-04,HD,2014Q4,2014-12-31,0.4012,0.2965,0.064,0.6573,20.22,99.34,15.89,0.0495
2015-02-04,HON,2014Q4,2014-12-31,0.2377,0.3243,0.0465,0.4928,16.29,8.0,15.0,0.0614
2015-02-04,JNJ,2014Q4,2014-12-31,0.3236,0.6936,0.0547,0.3459,15.2,5.84,13.62,0.0658
2015-02-04,JPM,2014Q4,2014-12-31,0.1354,0.5165,0.041,0.8475,11.4,1.64,13.1,0.0877
2015-02-04,KO,2014Q4,2014-12-31,0.3676,0.5939,0.0526,0.6356,29.78,8.69,17.39,0.0336
2015-02-04,LIN,2014Q4,2014-12-31,0.1241,0.4435,0.0515,0.3671,19.2,2.99,15.96,0.0521
2015-02-04,META,2014Q4,2014-12-31,0.2322,0.7727,0.0404,0.1284,20.12,5.31,12.39,0.0497
2015-02-04,MSFT,2014Q4,2014-12-31,0.3437,0.694,0.0385,0.2923,19.52,8.2,18.45,0.0512
2015-02-04,NEE,2014Q4,2014-12-31,0.1068,0.3795,0.0283,0.5578,26.27,3.03,16.14,0.0381
2015-02-04,NVDA,2014Q4,2014-12-31,0.3066,0.6075,0.028,0.1817,36.9,11.58,27.01,0.0271
2015-02-04,PG,2014Q4,2014-12-31,0.2159,0.4826,0.0392,0.5225,21.79,5.71,16.19,0.0459
2015-02-04,PLD,2014Q4,2014-12-31,0.0726,0.7683,0.0325,0.3953,44.43,2.68,22.7,0.0225
2015-02-04,UNH,2014Q4,2014-12-31,0.2136,0.2417,0.0572,0.3686,15.32,3.77,11.31,0.0653
2015-02-04,UPS,2014Q4,2014-12-31,0.5819,0.174,0.0539,0.7105,21.73,31.99,12.8,0.046
2015-02-04,V,2014Q4,2014-12-31,0.3063,0.8136,0.0433,0.4137,26.92,9.81,23.97,0.0371
2015-02-04,WMT,2014Q4,2014-12-31,0.2049,0.2543,0.0356,0.5941,28.04,5.17,14.47,0.0357
2015-02-04,XOM,2014Q4,2014-12-31,0.1327,0.3016,0.04,0.4429,14.4,1.7,10.64,0.0694
2015-02-04,ZQAI,2014Q4,2014-12-31,0.1104,0.2279,0.0219,0.5346,24.05,2.0,14.48,0.0416
2015-02-04,ZQLH,2014Q4,2014-12-31,0.0906,0.5337,0.0336,0.3335,26.98,3.97,18.86,0.0371
2015-02-04,ZQPT,2014Q4,2014-12-31,0.0494,0.3928,0.0029,0.3611,200.0,3.25,32.48,0.005
2015-05-05,AAPL,2015Q1,2015-03-31,0.4077,0.4096,0.0512,0.3057,17.34,11.68,15.58,0.0577
2015-05-05,AMT,2015Q1,2015-03-31,0.1991,0.6738,0.0291,0.7331,42.61,11.05,22.11,0.0235
2015-05-05,AMZN,2015Q1,2015-03-31,0.112,0.4084,0.0305,0.5706,76.52,10.77,26.92,0.0131
2015-05-05,APD,2015Q1,2015-03-31,0.1859,0.3387,0.0555,0.4332,20.29,4.14,15.52,0.0493
2015-05-05,BAC,2015Q1,2015-03-31,0.101,0.5294,0.0271,0.9126,12.44,1.4,15.2,0.0804
2015-05-05,CAT,2015Q1,2015-03-31,0.3492,0.2929,0.051,0.6288,16.82,6.55,12.0,0.0594
2015-05-05,CVX,2015Q1,2015-03-31,0.0982,0.3628,0.0396,0.4392,15.3,1.66,12.2,0.0654
2015-05-05,DUK,2015Q1,2015-03-31,0.0659,0.3034,0.0149,0.7109,31.57,1.59,12.92,0.0317
2015-05-05,ECL,2015Q1,2015-03-31,0.185,0.3821,0.0376,0.4885,25.67,7.21,18.54,0.039
2015-05-05,GOOGL,2015Q1,2015-03-31,0.1921,0.5469,0.0426,0.1378,18.01,5.44,17.41,0.0555
2015-05-05,HD,2015Q1,2015-03-31,0.4548,0.3123,0.0592,0.6199,16.99,112.02,17.92,0.0589
2015-05-05,HON,2015Q1,2015-03-31,0.2875,0.3546,0.051,0.5333,22.51,8.14,15.26,0.0444
2015-05-05,JNJ,2015Q1,2015-03-31,0.3074,0.6838,0.0564,0.4052,18.26,6.13,14.3,0.0548
2015-05-05,JPM,2015Q1,2015-03-31,0.1228,0.5319,0.0362,0.8722,12.29,1.65,13.24,0.0813
2015-05-05,KO,2015Q1,2015-03-31,0.4049,0.6221,0.0574,0.6411,20.87,8.9,17.8,0.0479
2015-05-05,LIN,2015Q1,2015-03-31,0.1417,0.449,0.0414,0.3994,20.36,2.92,15.57,0.0491
2015-05-05,META,2015Q1,2015-03-31,0.2819,0.7968,0.0476,0.0897,23.65,5.19,12.12,0.0423
2015-05-05,MSFT,2015Q1,2015-03-31,0.321,0.6948,0.035,0.3299,23.69,7.82,17.6,0.0422
